Giant Panda, Mammalia
Mallard, Aves
Carolina anole, Retilia
Mexican tetra, Actinopterygii
Cattle, Mammalia
C. Elegans, Nematoda
Common marmoset, Mammalia
Dog, Mammalia
Guinea pig, Mammalia
Green monkey, Mammalia
Sloth, Mammalia
Ciona intestinalis, Ascidiacea
Ciona savignyi, Ascidiacea
Zebrafish, Actinopterygii
Armadillo, Mammalia
Ords kangaroo rat, Mammalia
Drosophila melanogaster, Insecta
hedgehog, Mammalia
Horse, Mammalia
European hedgehog, Mammalia
Cat, Mammalia
Collared flycatcher, Aves
Atlantic cod, Actinopterygii
Red junglefowl, Aves
Three-spined stickleback, Actinopterygii
Gorilla, Mammalia
Human, Mammalia
Thirteen-lined ground squirrel, Mammalia
West Indian Ocean coelacanth, Sarcopterygii
Spotted gar, Actinopterygii
African bush elephant, Mammalia
Rhesus macaque, Mammalia
Tammar wallaby, Mammalia
Wild turkey, Aves
Gray mouse lemur, Mammalia
Gray short-tailed opossum, Mammalia
House mouse, Mammalia
Ferret, Mammalia
Little brown bat, Mammalia
white-cheeked gibbon, Mammalia
American pika, Mammalia
Nile tilapia, Actinopterygii
Platypus, Mammalia
European rabbit, Mammalia
oryzias_latipes, Actinopterygii
Northern greater galago, Mammalia
Sheep, Mammalia
Common chimpanzee, Mammalia
Olive baboon, Mammalia
Chinese softshell turtle, Sauropsida
Sea lamprey, Hyperoartia 
Amazon molly, Actinopterygii
Sumatran orangutan, Mammalia
Rock hyrax, Mammalia
Large flying fox, Mammalia
Brown rat, Mammalia
Saccharomyces cerevisiae, Saccharomycetes
Tasmanian devil, Mammalia
Common shrew, Mammalia
Wild boar, Mammalia
Zebra finch, Aves
Takifugu rubripes, Actinopterygii
Philippine tarsier, Mammalia
Tetraodon nigroviridis, Actinopterygii
Northern treeshrew, Mammalia
Common bottlenose dolphin, Mammalia
Alpaca, Mammalia
Western clawed frog, Amphibia
Southern platyfish, Actinopterygii